Source,Target,Weight
NCBITaxon:457421,MONDO:0024388,1
NCBITaxon:29466,MONDO:0009061,2
NCBITaxon:571,MONDO:0018076,1
NCBITaxon:83771,MONDO:0015183,1
NCBITaxon:818,MONDO:0018076,1
NCBITaxon:853,MONDO:0005148,1
NCBITaxon:1521,MONDO:0009061,1
NCBITaxon:2317,MONDO:0005147,1
NCBITaxon:729,MONDO:0011565,1
NCBITaxon:502558,MONDO:0005154,1
NCBITaxon:658089,MONDO:0005154,1
NCBITaxon:292800,MONDO:0011565,1
NCBITaxon:563193,MONDO:0005154,1
NCBITaxon:239935,MONDO:0008383,1
NCBITaxon:457395,MONDO:0005260,1
NCBITaxon:469585,MONDO:0005027,1
NCBITaxon:1748,MONDO:0008383,1
NCBITaxon:457390,MONDO:0005101,1
NCBITaxon:1406,MONDO:0018076,1
NCBITaxon:1511,MONDO:0005154,1
NCBITaxon:658659,MONDO:0015183,1
NCBITaxon:548,MONDO:0018076,1
NCBITaxon:1580,MONDO:0005154,1
NCBITaxon:187327,MONDO:0005052,1
NCBITaxon:35841,MONDO:0005101,1
NCBITaxon:36839,MONDO:0005052,1
NCBITaxon:36832,MONDO:0005260,1
NCBITaxon:562,MONDO:0010726,1
NCBITaxon:36745,MONDO:0005260,1
NCBITaxon:1488,MONDO:0008383,1
NCBITaxon:103892,MONDO:0011382,1
NCBITaxon:658659,MONDO:0005147,1
NCBITaxon:1590,MONDO:0018076,1
NCBITaxon:103892,MONDO:0005148,1
NCBITaxon:392409,MONDO:0015183,1
NCBITaxon:469590,MONDO:0005027,1
NCBITaxon:33043,MONDO:0009861,1
NCBITaxon:303,MONDO:0010726,1
NCBITaxon:1509,MONDO:0005154,1
NCBITaxon:1382,MONDO:0011382,1
NCBITaxon:28450,MONDO:0018076,1
NCBITaxon:40518,MONDO:0005154,1
NCBITaxon:1501,MONDO:0011565,1
NCBITaxon:69823,MONDO:0011382,1
NCBITaxon:1833,MONDO:0005027,1
NCBITaxon:28025,MONDO:0008383,1
NCBITaxon:69823,MONDO:0005148,1
NCBITaxon:187327,MONDO:0024388,1
NCBITaxon:2223,MONDO:0005101,1
NCBITaxon:392409,MONDO:0005147,1
NCBITaxon:36839,MONDO:0024388,1
NCBITaxon:47678,MONDO:0005147,1
NCBITaxon:1422,MONDO:0005148,1
NCBITaxon:470,MONDO:0009061,1
NCBITaxon:29466,MONDO:0015183,1
NCBITaxon:1537,MONDO:0005101,1
