PUBCHEM.COMPOUND:7991	NCBIGene:2520
PUBCHEM.COMPOUND:92824	NCBIGene:1633
PUBCHEM.COMPOUND:1117	NCBIGene:2261
PUBCHEM.COMPOUND:312	NCBIGene:5881
PUBCHEM.COMPOUND:753	NCBIGene:11218
PUBCHEM.COMPOUND:5957	NCBIGene:65061
PUBCHEM.COMPOUND:5326875	NCBIGene:32
PUBCHEM.COMPOUND:1117	NCBIGene:6323
PUBCHEM.COMPOUND:5957	NCBIGene:3445
PUBCHEM.COMPOUND:5950	NCBIGene:28968
PUBCHEM.COMPOUND:5957	NCBIGene:5532
PUBCHEM.COMPOUND:445639	NCBIGene:4922
PUBCHEM.COMPOUND:1117	NCBIGene:5646
PUBCHEM.COMPOUND:439520	NCBIGene:10599
PUBCHEM.COMPOUND:175	NCBIGene:2224
PUBCHEM.COMPOUND:529	NCBIGene:5105
PUBCHEM.COMPOUND:515	NCBIGene:4594
PUBCHEM.COMPOUND:5957	NCBIGene:26153
PUBCHEM.COMPOUND:107689	NCBIGene:50834
PUBCHEM.COMPOUND:13730	NCBIGene:1633
PUBCHEM.COMPOUND:996	NCBIGene:55554
PUBCHEM.COMPOUND:311	NCBIGene:84936
PUBCHEM.COMPOUND:387316	NCBIGene:2172
PUBCHEM.COMPOUND:222	NCBIGene:84945
PUBCHEM.COMPOUND:444795	NCBIGene:4487
PUBCHEM.COMPOUND:6030	NCBIGene:64960
PUBCHEM.COMPOUND:5994	NCBIGene:5069
PUBCHEM.COMPOUND:6057	NCBIGene:60509
PUBCHEM.COMPOUND:6305	NCBIGene:55117
PUBCHEM.COMPOUND:6262	NCBIGene:6865
PUBCHEM.COMPOUND:312	NCBIGene:6342
PUBCHEM.COMPOUND:10140	ENSEMBL:ENSG00000258417
PUBCHEM.COMPOUND:312	NCBIGene:114
PUBCHEM.COMPOUND:445639	NCBIGene:6720
PUBCHEM.COMPOUND:5202	NCBIGene:2912
PUBCHEM.COMPOUND:6022	NCBIGene:2324
PUBCHEM.COMPOUND:5885	NCBIGene:3294
PUBCHEM.COMPOUND:187	NCBIGene:552
PUBCHEM.COMPOUND:6022	NCBIGene:3452
PUBCHEM.COMPOUND:5202	NCBIGene:2837
PUBCHEM.COMPOUND:602	NCBIGene:1401
PUBCHEM.COMPOUND:753	NCBIGene:2893
PUBCHEM.COMPOUND:602	NCBIGene:5719
PUBCHEM.COMPOUND:5280795	NCBIGene:3952
PUBCHEM.COMPOUND:175	NCBIGene:253827
PUBCHEM.COMPOUND:222528	NCBIGene:2695
PUBCHEM.COMPOUND:1117	NCBIGene:2627
PUBCHEM.COMPOUND:175	NCBIGene:56899
PUBCHEM.COMPOUND:312	NCBIGene:284131
PUBCHEM.COMPOUND:5280450	NCBIGene:6296
PUBCHEM.COMPOUND:6022	NCBIGene:375449
PUBCHEM.COMPOUND:5280343	NCBIGene:842
PUBCHEM.COMPOUND:1110	NCBIGene:84733
PUBCHEM.COMPOUND:439155	NCBIGene:6130
PUBCHEM.COMPOUND:6030	NCBIGene:79868
PUBCHEM.COMPOUND:71077	NCBIGene:5268
PUBCHEM.COMPOUND:774	NCBIGene:8601
PUBCHEM.COMPOUND:1117	NCBIGene:2290
